category_no,plu_no,display_order
41,1,1
41,17,15
41,4,2
41,203,16
41,6,3
41,344,17
41,11,4
41,392,18
50,1,1
50,2,15
50,3,2
50,4,16
50,5,3
50,6,17
50,7,4
50,8,18
50,9,5
50,10,19
50,11,7
50,12,21
50,13,8
50,14,22
51,1,1
51,2,15
51,3,2
51,3,16
51,3,3
51,3,17
51,3,4
51,3,18
51,3,5
51,3,19
51,3,6
51,3,20
51,3,7
51,3,21
51,3,8
51,3,22
51,3,9
51,3,23
51,3,10
51,3,24
51,3,11
51,3,25
51,3,12
51,3,26
51,3,13
51,3,27
51,3,14
51,3,28
60,204,1
60,205,2
60,206,3
60,207,4
60,340,5
70,19,1
70,20,15
70,200,2
70,201,16
70,202,3
70,203,17
80,15,1
80,16,15
80,17,2
80,18,16
99,1,1
99,8,15
99,2,2
99,9,16
99,3,3
99,10,17
99,4,4
99,11,18
99,5,5
99,14,19
99,6,6
99,13,20
99,7,7
99,14,21
