table_no,table_name,grid_x,grid_y,pixel_x,pixel_y,pixel_width,pixel_height,table_area_no
2,"T2",2,1,190,30,100,110,1
4,"T4",1,3,40,160,100,110,1
5,"T5",2,1,340,30,100,110,1
8,"T8",2,4,340,240,100,110,1
34,"T34",2,4,190,240,100,110,1
54,"T54",3,4,490,240,100,110,1
56,"T56",2,8,320,570,60,60,1
57,"T57",3,8,400,570,60,60,1
58,"T58",1,4,40,290,100,60,1
61,"T61",3,1,490,30,100,110,1
62,"T62",2,6,220,420,150,100,1
63,"T63",3,6,410,420,150,100,1
64,"T64",4,6,630,440,100,150,1
65,"T65",4,1,660,60,100,110,1
66,"T66",4,3,660,190,100,60,1
67,"T67",4,4,660,270,100,60,1
